rho,q_numerical,q_exact
0.127279220613579,0.870787588272253,0.870763207159731
0.181276465722369,0.875800668035851,0.87577621039502
0.23527371083116,0.882800755918482,0.882776119973673
0.289270955939951,0.892019532021508,0.89199463893141
0.343268201048742,0.903784543281141,0.903759313902627
0.397265446157533,0.918552595712867,0.918526942338135
0.451262691266324,0.9369623964919,0.936936217078691
0.505259936375115,0.959919573041667,0.959892744906006
0.559257181483906,0.988739151544751,0.988711523019587
0.613254426592697,1.02539634264818,1.02536772105836
0.667251671701487,1.0729967746619,1.07296690808632
0.721248916810278,1.13673350872601,1.1367020937535
