N,h,err_RMS,err_max,order,psi_axis,R_axis,t_solve
17,0.075,0.000149682691448038,0.000286597153301954,1.9543509366543,0.250284525204829,1,0.00025025
33,0.0375,3.86236514844575e-05,7.17714444128936e-05,1.97733620598184,0.25007124862154,1,0.000794708333333333
65,0.01875,9.80879866064016e-06,1.79659617789985e-05,1.98870055352161,0.250017819511987,1,0.00316329166666667
129,0.00937500000000002,2.47148114245995e-06,4.49196660387563e-06,1.99435760245479,0.25000445533816,1,0.0185206666666667
257,0.00468750000000001,6.20291515328521e-07,1.12302141755394e-06,NaN,0.250001113863306,1,0.0888419166666667
